#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Aug 28 15:20:01 EDT 2020,29,29,Assignment1Suite,EmptyFullTest0+ EmptyFullTest1+ EmptyFullTest3+ EmptyFullTest6+ PeekTest0+ PeekTest2+ PopTest2+ SizeTest0+ , ,EmptyFullTest2- EmptyFullTest4- EmptyFullTest5- EmptyFullTest7- InsertTest0- InsertTest1- InsertTest2- InsertTest3- PeekTest1- PeekTest3- PeekTest4- PopTest0- PopTest1- PopTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- SizeTest5- , ,
1,Fri Aug 28 15:20:26 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest0 PeekTest2 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PeekTest4 PopTest0 PopTest1 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
2,Fri Aug 28 17:26:32 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest0 PeekTest2 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PeekTest4 PopTest0 PopTest1 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
3,Fri Aug 28 17:57:19 EDT 2020,29,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest6 PeekTest0 PeekTest2 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest4 EmptyFullTest5 EmptyFullTest7 InsertTest0 InsertTest1 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PeekTest4 PopTest0 PopTest1 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
4,Sat Aug 29 01:06:56 EDT 2020,51,22,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4+ EmptyFullTest5+ InsertTest0+ InsertTest1+ PeekTest0 PeekTest2 PeekTest4+ PopTest0+ PopTest1+ PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6- EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
5,Sat Aug 29 01:07:07 EDT 2020,51,0,SizeTestSuite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
6,Sat Aug 29 01:24:38 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
7,Sat Aug 29 01:24:57 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
8,Sat Aug 29 01:26:56 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
9,Sat Aug 29 01:45:53 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
10,Sat Aug 29 01:46:01 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
11,Sat Aug 29 01:57:32 EDT 2020,51,0,Assignment1Suite,EmptyFullTest0 EmptyFullTest1 EmptyFullTest3 EmptyFullTest4 EmptyFullTest5 InsertTest0 InsertTest1 PeekTest0 PeekTest2 PeekTest4 PopTest0 PopTest1 PopTest2 SizeTest0 , ,EmptyFullTest2 EmptyFullTest6 EmptyFullTest7 InsertTest2 InsertTest3 PeekTest1 PeekTest3 PopTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SizeTest5 , ,
